Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Wii Sports,wii,2006,sports,nintendo,41.36,28.96,3.77,8.45,82.53,7.6,51.0,8.0,322.0,Nintendo,E
Super Mario Bros.,nes,1985,platform,nintendo,29.08,3.58,6.81,0.77,40.24,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Mario Kart Wii,wii,2008,racing,nintendo,15.68,12.76,3.79,3.29,35.52,8.2,73.0,8.3,709.0,Nintendo,E
Wii Sports Resort,wii,2009,sports,nintendo,15.61,10.93,3.28,2.95,32.77,8.0,73.0,8.0,192.0,Nintendo,E
Pokemon Red/Pokemon Blue,gb,1996,role-playing,nintendo,11.27,8.89,10.22,1.0,31.37,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Tetris,gb,1989,puzzle,nintendo,23.2,2.26,4.22,0.58,30.26,6.723181818181819,20.454545454545453,7.1384,33.12,Unknown,E
New Super Mario Bros.,ds,2006,platform,nintendo,11.28,9.14,6.5,2.88,29.8,8.9,65.0,8.5,431.0,Nintendo,E
Wii Play,wii,2006,misc,nintendo,13.96,9.18,2.93,2.84,28.92,5.8,41.0,6.6,129.0,Nintendo,E
New Super Mario Bros. Wii,wii,2009,platform,nintendo,14.44,6.94,4.7,2.24,28.32,8.7,80.0,8.4,594.0,Nintendo,E
Duck Hunt,nes,1984,shooter,nintendo,26.93,0.63,0.28,0.47,28.31,7.026002166847237,35.679306608884076,7.053259668508287,378.28066298342543,Unknown,E
Nintendogs,ds,2005,simulation,nintendo,9.05,10.95,1.93,2.74,24.67,6.860919540229885,21.419540229885058,7.132153392330384,83.42182890855457,Unknown,E
Mario Kart DS,ds,2005,racing,nintendo,9.71,7.47,4.13,1.9,23.21,9.1,64.0,8.6,464.0,Nintendo,E
Pokemon Gold/Pokemon Silver,gb,1999,role-playing,nintendo,9.0,6.18,7.2,0.71,23.1,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Wii Fit,wii,2007,sports,nintendo,8.92,8.03,3.6,2.15,22.7,8.0,63.0,7.7,146.0,Nintendo,E
Kinect Adventures!,x360,2010,misc,microsoft game studios,15.0,4.89,0.24,1.69,21.81,6.1,45.0,6.3,106.0,Good Science Studio,E
Wii Fit Plus,wii,2009,sports,nintendo,9.01,8.49,2.53,1.77,21.79,8.0,33.0,7.4,52.0,Nintendo,E
Grand Theft Auto V,ps3,2013,action,take-two interactive,7.02,9.09,0.98,3.96,21.04,9.7,50.0,8.2,3994.0,Rockstar North,M
Grand Theft Auto: San Andreas,ps2,2004,action,take-two interactive,9.43,0.4,0.41,10.57,20.81,9.5,80.0,9.0,1588.0,Rockstar North,M
Super Mario World,snes,1990,platform,nintendo,12.78,3.75,3.54,0.55,20.61,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Brain Age: Train Your Brain in Minutes a Day,ds,2005,misc,nintendo,4.74,9.2,4.16,2.04,20.15,7.7,58.0,7.9,50.0,Nintendo,E
Pokemon Diamond/Pokemon Pearl,ds,2006,role-playing,nintendo,6.38,4.46,6.04,1.36,18.25,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Super Mario Land,gb,1989,platform,nintendo,10.83,2.71,4.18,0.42,18.14,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Super Mario Bros. 3,nes,1988,platform,nintendo,9.54,3.44,3.84,0.46,17.28,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Grand Theft Auto V,x360,2013,action,take-two interactive,9.66,5.14,0.06,1.41,16.27,9.7,58.0,8.1,3711.0,Rockstar North,M
Grand Theft Auto: Vice City,ps2,2002,action,take-two interactive,8.41,5.49,0.47,1.78,16.15,9.5,62.0,8.7,730.0,Rockstar North,M
Pokemon Ruby/Pokemon Sapphire,gba,2002,role-playing,nintendo,6.06,3.9,5.38,0.5,15.85,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Brain Age 2: More Training in Minutes a Day,ds,2005,puzzle,nintendo,3.43,5.35,5.32,1.18,15.29,7.7,37.0,7.1,19.0,Nintendo,E
Pokemon Black/Pokemon White,ds,2010,role-playing,nintendo,5.51,3.17,5.65,0.8,15.14,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Gran Turismo 3: A-Spec,ps2,2001,racing,sony computer entertainment,6.85,5.09,1.87,1.16,14.98,9.5,54.0,8.4,314.0,Polyphony Digital,E
Call of Duty: Modern Warfare 3,x360,2011,shooter,activision,9.04,4.24,0.13,1.32,14.73,8.8,81.0,3.4,8713.0,"Infinity Ward, Sledgehammer Games",M
Pokémon Yellow: Special Pikachu Edition,gb,1998,role-playing,nintendo,5.89,5.04,3.12,0.59,14.64,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Call of Duty: Black Ops 3,ps4,2015,shooter,activision,6.03,5.86,0.36,2.38,14.63,7.026002166847237,35.679306608884076,7.053259668508287,378.28066298342543,Unknown,E
Call of Duty: Black Ops,x360,2010,shooter,activision,9.7,3.68,0.11,1.13,14.61,8.7,89.0,6.3,1454.0,Treyarch,M
Pokemon X/Pokemon Y,3ds,2013,role-playing,nintendo,5.28,4.19,4.35,0.78,14.6,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Call of Duty: Black Ops II,ps3,2012,shooter,activision,4.99,5.73,0.65,2.42,13.79,8.3,21.0,5.3,922.0,Treyarch,M
Call of Duty: Black Ops II,x360,2012,shooter,activision,8.25,4.24,0.07,1.12,13.67,8.3,73.0,4.8,2256.0,Treyarch,M
Call of Duty: Modern Warfare 2,x360,2009,shooter,activision,8.52,3.59,0.08,1.28,13.47,9.4,100.0,6.3,2698.0,Infinity Ward,M
Call of Duty: Modern Warfare 3,ps3,2011,shooter,activision,5.54,5.73,0.49,1.57,13.32,8.8,39.0,3.2,5234.0,"Infinity Ward, Sledgehammer Games",M
Grand Theft Auto III,ps2,2001,action,take-two interactive,6.99,4.51,0.3,1.3,13.1,9.7,56.0,8.5,664.0,DMA Design,M
Super Smash Bros. Brawl,wii,2008,fighting,nintendo,6.62,2.55,2.66,1.01,12.84,9.3,81.0,8.9,1662.0,Game Arts,T
Mario Kart 7,3ds,2011,racing,nintendo,5.03,4.02,2.69,0.91,12.66,8.5,73.0,8.2,632.0,"Retro Studios, Entertainment Analysis & Development Division",E
Call of Duty: Black Ops,ps3,2010,shooter,activision,5.99,4.37,0.48,1.79,12.63,8.8,58.0,6.4,1094.0,Treyarch,M
Grand Theft Auto V,ps4,2014,action,take-two interactive,3.96,6.31,0.38,1.97,12.61,9.7,66.0,8.3,2899.0,Rockstar North,M
Animal Crossing: Wild World,ds,2005,simulation,nintendo,2.5,3.45,5.33,0.86,12.13,8.6,57.0,8.7,242.0,Nintendo,E
Halo 3,x360,2007,shooter,microsoft game studios,7.97,2.81,0.13,1.21,12.12,9.4,86.0,7.8,4100.0,"Bungie Software, Bungie",M
Super Mario 64,n64,1996,platform,nintendo,6.91,2.85,1.91,0.23,11.89,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Pokemon HeartGold/Pokemon SoulSilver,ds,2009,action,nintendo,4.34,2.71,3.96,0.76,11.77,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Pokemon Omega Ruby/Pokemon Alpha Sapphire,3ds,2014,role-playing,nintendo,4.35,3.49,3.1,0.74,11.68,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Gran Turismo 4,ps2,2004,racing,sony computer entertainment,3.01,0.01,1.1,7.53,11.66,8.9,74.0,8.5,272.0,Polyphony Digital,E
Super Mario Galaxy,wii,2007,platform,nintendo,6.06,3.35,1.2,0.74,11.35,9.7,73.0,8.9,2147.0,Nintendo,E
Super Mario Land 2: 6 Golden Coins,gb,1992,adventure,nintendo,6.16,2.04,2.69,0.29,11.18,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
Grand Theft Auto IV,x360,2008,action,take-two interactive,6.76,3.07,0.14,1.03,11.01,9.8,86.0,7.9,2951.0,Rockstar North,M
Gran Turismo,ps,1997,racing,sony computer entertainment,4.02,3.87,2.54,0.52,10.95,9.6,16.0,8.7,138.0,Polyphony Digital,E
Super Mario 3D Land,3ds,2011,platform,nintendo,4.89,3.0,2.14,0.78,10.81,9.0,82.0,8.4,921.0,Nintendo,E
Gran Turismo 5,ps3,2010,racing,sony computer entertainment,2.96,4.82,0.81,2.11,10.7,8.4,82.0,7.5,1112.0,Polyphony Digital,E
Call of Duty: Modern Warfare 2,ps3,2009,shooter,activision,4.99,3.64,0.38,1.6,10.6,9.4,67.0,6.3,2073.0,Infinity Ward,M
Super Mario All-Stars,snes,1993,platform,nintendo,5.99,2.15,2.12,0.29,10.55,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Grand Theft Auto IV,ps3,2008,action,take-two interactive,4.76,3.69,0.44,1.61,10.5,9.8,64.0,7.5,2833.0,Rockstar North,M
Pokemon FireRed/Pokemon LeafGreen,gba,2004,role-playing,nintendo,4.34,2.65,3.15,0.35,10.49,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Super Mario 64,ds,2004,platform,nintendo,5.01,3.07,1.25,0.97,10.3,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Call of Duty: Ghosts,x360,2013,shooter,activision,6.73,2.56,0.04,0.91,10.25,7.3,29.0,2.6,2117.0,Infinity Ward,M
Just Dance 3,wii,2011,misc,ubisoft,5.95,3.11,0.0,1.06,10.12,7.4,15.0,7.8,16.0,Ubisoft,E10+
New Super Mario Bros. 2,3ds,2012,platform,nintendo,3.66,3.14,2.47,0.63,9.9,7.8,70.0,7.2,424.0,Nintendo,E
Mario Kart 64,n64,1996,racing,nintendo,5.55,1.94,2.23,0.15,9.87,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Unknown,E
Halo: Reach,x360,2010,shooter,microsoft game studios,7.04,1.95,0.08,0.79,9.86,9.1,99.0,7.9,2045.0,Bungie,M
Final Fantasy VII,ps,1997,role-playing,sony computer entertainment,3.01,2.47,3.28,0.96,9.72,9.2,20.0,9.2,1282.0,SquareSoft,T
Halo 4,x360,2012,shooter,microsoft game studios,6.65,2.28,0.04,0.74,9.71,8.7,87.0,7.0,3260.0,343 Industries,M
Gran Turismo 2,ps,1999,racing,sony computer entertainment,3.88,3.42,1.69,0.5,9.49,9.3,23.0,9.0,135.0,Polyphony Digital,T
Just Dance 2,wii,2010,misc,ubisoft,5.8,2.85,0.01,0.78,9.44,7.4,24.0,7.3,24.0,Ubisoft,E10+
Call of Duty: Ghosts,ps3,2013,shooter,activision,4.1,3.63,0.38,1.25,9.36,7.1,10.0,2.6,1047.0,Infinity Ward,M
Call of Duty 4: Modern Warfare,x360,2007,shooter,activision,5.93,2.36,0.13,0.9,9.31,9.4,70.0,8.4,1320.0,Infinity Ward,M
Donkey Kong Country,snes,1994,platform,nintendo,4.36,1.71,3.0,0.23,9.3,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Minecraft,x360,2013,misc,microsoft game studios,5.7,2.65,0.02,0.81,9.18,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
Animal Crossing: New Leaf,3ds,2012,simulation,nintendo,2.03,2.36,4.39,0.39,9.16,8.8,70.0,8.7,626.0,Nintendo,E
Mario Party DS,ds,2007,misc,nintendo,4.4,1.85,1.98,0.68,8.91,7.2,27.0,7.8,85.0,Hudson Soft,E
The Elder Scrolls V: Skyrim,x360,2011,role-playing,bethesda softworks,5.05,2.79,0.1,0.85,8.79,9.6,89.0,8.4,3589.0,Bethesda Game Studios,M
Super Mario Kart,snes,1992,racing,nintendo,3.54,1.24,3.81,0.18,8.76,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Unknown,E
FIFA 16,ps4,2015,sports,electronic arts,1.12,6.12,0.06,1.28,8.57,8.2,42.0,4.3,896.0,EA Sports,E
Halo 2,xb,2004,shooter,microsoft game studios,6.82,1.53,0.05,0.08,8.49,9.5,91.0,8.2,1218.0,Bungie Software,M
Wii Party,wii,2010,misc,nintendo,1.75,3.47,2.49,0.67,8.38,6.8,42.0,7.4,54.0,Nd Cube,E
Mario Party 8,wii,2007,misc,nintendo,3.74,2.24,1.58,0.7,8.27,6.2,41.0,6.3,190.0,Hudson,E
FIFA Soccer 13,ps3,2012,action,electronic arts,1.06,5.01,0.13,1.97,8.16,8.8,37.0,6.6,348.0,Electronic Arts,E
GoldenEye 007,n64,1997,shooter,nintendo,5.8,2.01,0.13,0.15,8.09,7.026002166847237,35.679306608884076,7.053259668508287,378.28066298342543,Unknown,E
Pokemon Black 2/Pokemon White 2,ds,2012,role-playing,nintendo,2.79,1.72,3.14,0.41,8.07,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Final Fantasy X,ps2,2001,role-playing,sony computer entertainment,2.91,2.07,2.73,0.33,8.05,9.2,53.0,8.7,1056.0,SquareSoft,T
The Sims 3,pc,2009,simulation,electronic arts,0.99,6.42,0.0,0.6,8.01,8.6,75.0,7.6,886.0,The Sims Studio,T
Mario & Sonic at the Olympic Games,wii,2007,sports,sega,2.57,3.86,0.66,0.91,7.99,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Star Wars Battlefront (2015),ps4,2015,shooter,electronic arts,2.99,3.49,0.22,1.28,7.98,7.026002166847237,35.679306608884076,7.053259668508287,378.28066298342543,Unknown,E
Final Fantasy VIII,ps,1999,role-playing,squaresoft,2.28,1.72,3.63,0.23,7.86,9.0,24.0,8.6,644.0,SquareSoft,T
Pac-Man,2600,1982,puzzle,atari,7.28,0.45,0.0,0.08,7.81,6.723181818181819,20.454545454545453,7.1384,33.12,Unknown,E
Pokémon Platinum Version,ds,2008,role-playing,nintendo,2.76,1.72,2.69,0.54,7.72,8.3,46.0,8.5,203.0,Game Freak,E
Grand Theft Auto: Liberty City Stories,psp,2005,action,take-two interactive,2.9,2.81,0.24,1.73,7.69,8.8,65.0,7.6,451.0,Rockstar Leeds,M
Call of Duty: Advanced Warfare,ps4,2014,shooter,activision,2.81,3.48,0.14,1.23,7.66,8.3,39.0,5.7,1443.0,Sledgehammer Games,M
The Legend of Zelda: Ocarina of Time,n64,1998,action,nintendo,4.1,1.89,1.45,0.16,7.6,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
FIFA 17,ps4,2016,sports,electronic arts,0.66,5.75,0.08,1.11,7.59,8.5,41.0,5.0,398.0,"EA Sports, EA Vancouver",E
Crash Bandicoot 2: Cortex Strikes Back,ps,1997,platform,sony computer entertainment,3.78,2.17,1.31,0.31,7.58,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Super Smash Bros. for Wii U and 3DS,3ds,2014,fighting,nintendo,3.27,1.37,2.43,0.48,7.55,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
Super Mario Galaxy 2,wii,2010,platform,nintendo,3.56,2.35,0.98,0.62,7.51,9.7,87.0,9.1,1854.0,Nintendo EAD Tokyo,E
Super Mario Bros. 2,nes,1988,platform,nintendo,5.39,1.18,0.7,0.19,7.46,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Call of Duty: Black Ops 3,xone,2015,shooter,activision,4.59,2.11,0.01,0.68,7.39,7.026002166847237,35.679306608884076,7.053259668508287,378.28066298342543,Unknown,E
Call of Duty: World at War,x360,2008,shooter,activision,4.81,1.88,0.0,0.69,7.38,8.4,84.0,7.6,580.0,Treyarch,M
Battlefield 3,x360,2011,shooter,electronic arts,4.46,2.11,0.06,0.69,7.32,8.4,57.0,7.4,2142.0,EA DICE,M
Need for Speed Underground,ps2,2003,racing,electronic arts,3.27,2.83,0.08,1.02,7.2,8.5,33.0,8.6,171.0,EA Black Box,E
Just Dance,wii,2009,misc,ubisoft,3.48,2.99,0.0,0.73,7.2,4.9,21.0,8.0,110.0,Ubisoft Paris,E10+
Battlefield 3,ps3,2011,shooter,electronic arts,2.85,2.89,0.35,1.08,7.17,8.5,38.0,7.5,1761.0,EA DICE,M
Fallout 4,ps4,2015,role-playing,bethesda softworks,2.53,3.27,0.24,1.13,7.16,8.7,58.0,6.5,4228.0,Bethesda Game Studios,M
Tekken 3,ps,1998,fighting,sony computer entertainment,3.27,2.22,1.4,0.29,7.16,9.6,15.0,9.1,367.0,Namco,T
The Legend of Zelda: Twilight Princess,wii,2006,action,nintendo,3.74,2.14,0.6,0.68,7.15,9.5,73.0,9.0,1658.0,Nintendo,T
Pokemon Sun/Moon,3ds,2016,role-playing,nintendo,2.98,1.45,2.26,0.45,7.14,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
